                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.023,                0.92982,                0.64053,                0.92015,                0.77509,                0.39056,                0.45928,                0.26017,                0.43229,                0.33906,                0.30915,                0.13073,                 1.5761,                 2.6985,                 10.018,                0.86759,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.0182,                 0.8919,                0.62687,                0.92546,                 0.7067,                0.41202,                0.45555,                0.25872,                0.48918,                0.34335,                0.33492,                0.12697,                 1.6621,                 2.3556,                 10.839,                0.87395,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.0186,                0.92744,                0.63223,                0.91202,                0.73126,                0.39914,                0.46512,                0.26265,                0.51033,                0.36481,                0.35331,                0.14284,                 1.6463,                 2.8293,                 10.906,                0.87712,             0.00084184,             0.00084184,             0.00084184
                     27,                0.97494,                0.84622,                0.60946,                0.91562,                0.72626,                0.40994,                0.45104,                0.26491,                0.57382,                0.37768,                0.37358,                0.15547,                 1.6358,                 2.4813,                 10.235,                0.86332,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.0021,                0.89704,                0.61527,                0.90426,                0.75513,                0.45064,                0.48029,                0.26665,                 0.5403,                0.36481,                0.34242,                0.12857,                 1.6075,                  3.177,                 12.067,                0.86748,             0.00077582,             0.00077582,             0.00077582
                     29,                0.97293,                0.84093,                0.59372,                 0.9053,                0.72305,                  0.437,                0.49348,                0.27538,                 0.5305,                0.33462,                0.33512,                0.12504,                 1.5373,                 2.4457,                 10.785,                0.87274,             0.00074282,             0.00074282,             0.00074282
                     30,                0.95731,                0.83529,                0.59192,                0.90914,                0.70917,                0.42489,                0.46353,                0.27109,                0.58319,                0.40773,                0.40488,                0.16507,                 1.4934,                 3.1283,                 13.586,                0.85618,             0.00070981,             0.00070981,             0.00070981
                     31,                0.96283,                0.87452,                0.60791,                0.89675,                0.76817,                0.43348,                0.47108,                0.27314,                0.52736,                0.38197,                0.36354,                0.16239,                 1.6705,                 3.2753,                 13.283,                0.87487,              0.0006768,              0.0006768,              0.0006768
                     32,                 0.9458,                0.81311,                0.59168,                0.89423,                0.69269,                0.40632,                0.44684,                0.26559,                0.55226,                0.39703,                0.38973,                0.16069,                 1.6422,                 3.3906,                 15.435,                 0.8625,              0.0006438,              0.0006438,              0.0006438
                     33,                 0.9338,                 0.8154,                0.59502,                0.89739,                0.74471,                0.41315,                0.46378,                0.27337,                0.50296,                0.36481,                 0.3611,                0.15822,                 1.5723,                 2.5245,                 10.053,                  0.848,             0.00061079,             0.00061079,             0.00061079
                     34,                0.93406,                0.81646,                0.58806,                0.89983,                0.70811,                 0.4373,                0.48582,                0.29074,                0.46615,                0.33906,                 0.3266,                0.13295,                 1.5244,                 2.6384,                 9.6524,                0.85406,             0.00057778,             0.00057778,             0.00057778
                     35,                0.94233,                0.78626,                0.57988,                0.89639,                0.74371,                0.41631,                0.47607,                0.28367,                0.53957,                0.38197,                0.36062,                0.15019,                 1.4973,                 2.8738,                 11.416,                0.85309,             0.00054478,             0.00054478,             0.00054478
                     36,                 0.9078,                0.84869,                0.55487,                0.88925,                0.73597,                0.45064,                0.50479,                0.29958,                0.53514,                0.33476,                0.31829,                0.13454,                 1.4462,                 2.5445,                 9.4137,                0.83746,             0.00051177,             0.00051177,             0.00051177
                     37,                0.90793,                0.79823,                 0.5567,                 0.8887,                0.73494,                0.44206,                0.49281,                0.28671,                0.50714,                0.37339,                0.33926,                0.13816,                 1.5615,                 2.8002,                 12.127,                0.84068,             0.00047876,             0.00047876,             0.00047876
                     38,                 0.8904,                0.79417,                0.54666,                0.89235,                0.72617,                0.43348,                0.47105,                0.28503,                0.49313,                0.37163,                0.37228,                0.15587,                 1.5182,                 2.8772,                 10.735,                0.84112,             0.00044576,             0.00044576,             0.00044576
                     39,                0.91244,                0.80785,                0.57232,                0.88871,                 0.7218,                0.44206,                0.49152,                0.28888,                0.54969,                 0.3691,                0.36328,                 0.1498,                 1.5598,                 2.6052,                 9.8948,                 0.8478,             0.00041275,             0.00041275,             0.00041275
                     40,                0.88331,                0.77612,                0.54726,                0.88213,                0.78287,                0.46352,                0.50468,                0.29726,                0.53506,                0.38197,                0.38545,                0.16839,                 1.4531,                 2.6638,                 9.2601,                0.83514,             0.00037974,             0.00037974,             0.00037974
                     41,                0.86304,                0.71779,                0.53884,                0.88922,                0.80904,                0.40773,                0.48612,                0.28103,                0.50102,                0.39914,                0.35134,                0.15824,                 1.5698,                 2.5127,                 12.953,                0.83758,             0.00034674,             0.00034674,             0.00034674
                     42,                0.83448,                0.72751,                0.52861,                0.89277,                0.79487,                0.41202,                0.48325,                0.28797,                0.50979,                0.41063,                0.38122,                 0.1526,                 1.5512,                 2.7708,                  11.51,                0.83541,             0.00031373,             0.00031373,             0.00031373
                     43,                0.81273,                0.72948,                0.52153,                0.88214,                0.73644,                0.44371,                0.51109,                0.30784,                0.50997,                0.38627,                0.36491,                0.16427,                  1.441,                  2.646,                 11.349,                0.82658,             0.00028072,             0.00028072,             0.00028072
                     44,                0.80986,                0.69842,                0.50711,                0.88905,                 0.7638,                0.45923,                0.51976,                0.30153,                0.52403,                0.36481,                0.36275,                0.16153,                 1.5064,                 2.0534,                 11.606,                0.82715,             0.00024772,             0.00024772,             0.00024772
                     45,                0.80129,                0.69415,                0.51175,                0.87402,                0.77677,                0.45064,                0.49968,                0.29867,                0.52224,                 0.3691,                0.35744,                0.14731,                 1.5042,                 2.2898,                 12.057,                 0.8243,             0.00021471,             0.00021471,             0.00021471
                     46,                0.78807,                0.68841,                0.49391,                0.87095,                 0.8074,                0.44981,                0.52216,                0.31212,                 0.5125,                0.39056,                0.37317,                0.15933,                 1.4862,                 2.3832,                 12.634,                0.82419,              0.0001817,              0.0001817,              0.0001817
                     47,                0.77902,                0.68766,                0.49321,                0.87092,                0.76646,                0.46781,                0.52521,                0.30986,                0.56742,                0.39485,                0.37718,                0.15683,                 1.4487,                 2.4261,                 11.331,                0.82351,              0.0001487,              0.0001487,              0.0001487
                     48,                0.77642,                0.69094,                0.48328,                0.86828,                0.80751,                0.45064,                0.51917,                0.31797,                0.50923,                0.40773,                0.36932,                0.16551,                 1.4195,                 2.3009,                 11.704,                0.81961,             0.00011569,             0.00011569,             0.00011569
                     49,                0.77018,                0.64732,                0.48723,                0.87674,                0.80957,                0.43777,                0.52192,                0.31435,                0.52291,                0.41631,                0.37894,                0.15847,                 1.4356,                 2.2237,                 11.562,                0.82235,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.74708,                0.64874,                0.48113,                0.86939,                0.80947,                0.45494,                0.52025,                0.31239,                0.51095,                0.39011,                 0.3565,                0.15853,                  1.418,                 2.1657,                 11.535,                0.81824,             4.9677e-05,             4.9677e-05,             4.9677e-05
